compound_id,gene_id,cosine_similarity,compound_cluster,gene_cluster
CMPD_0000,GENE_0835,0.34349822998046875,21,19
CMPD_0000,GENE_0807,0.30388930439949036,21,25
CMPD_0000,GENE_0295,0.2970483899116516,21,25
CMPD_0000,GENE_0020,0.2826097309589386,21,9
CMPD_0000,GENE_0054,0.28113412857055664,21,19
CMPD_0001,GENE_0298,0.37814685702323914,12,14
CMPD_0001,GENE_0697,0.29486942291259766,12,24
CMPD_0001,GENE_0390,0.2833041846752167,12,24
CMPD_0001,GENE_0735,0.28313058614730835,12,23
CMPD_0001,GENE_0748,0.28175532817840576,12,29
CMPD_0002,GENE_0225,0.3207801580429077,4,25
CMPD_0002,GENE_0931,0.3207027018070221,4,25
CMPD_0002,GENE_0591,0.2980729937553406,4,25
CMPD_0002,GENE_0266,0.2975204885005951,4,27
CMPD_0002,GENE_0588,0.2860638499259949,4,24
CMPD_0003,GENE_0993,0.32650747895240784,0,20
CMPD_0003,GENE_0763,0.2908032536506653,0,25
CMPD_0003,GENE_0373,0.2741880416870117,0,2
CMPD_0003,GENE_0723,0.26080283522605896,0,14
CMPD_0003,GENE_1030,0.2597658634185791,0,27
CMPD_0004,GENE_0034,0.417275607585907,10,10
CMPD_0004,GENE_0387,0.4146689474582672,10,10
CMPD_0004,GENE_0920,0.4037838876247406,10,10
CMPD_0004,GENE_0750,0.4026317596435547,10,10
CMPD_0004,GENE_0040,0.39291703701019287,10,10
CMPD_0005,GENE_0839,0.3095082938671112,11,19
CMPD_0005,GENE_0435,0.30597105622291565,11,11
CMPD_0005,GENE_0650,0.2956652045249939,11,20
CMPD_0005,GENE_0688,0.2761555314064026,11,26
CMPD_0005,GENE_0119,0.2752460837364197,11,25
CMPD_0006,GENE_0777,0.3237348794937134,12,9
CMPD_0006,GENE_0426,0.3223766088485718,12,29
CMPD_0006,GENE_0880,0.3132380247116089,12,13
CMPD_0006,GENE_0636,0.29835450649261475,12,12
CMPD_0006,GENE_0909,0.2907734215259552,12,23
CMPD_0007,GENE_0784,0.35999464988708496,10,10
CMPD_0007,GENE_0040,0.35166049003601074,10,10
CMPD_0007,GENE_0115,0.3020797073841095,10,10
CMPD_0007,GENE_0187,0.294979989528656,10,6
CMPD_0007,GENE_1003,0.28604185581207275,10,24
CMPD_0008,GENE_1143,0.28443488478660583,28,24
CMPD_0008,GENE_0038,0.2757530212402344,28,9
CMPD_0008,GENE_0598,0.2706749439239502,28,9
CMPD_0008,GENE_1108,0.2691216766834259,28,9
CMPD_0008,GENE_0376,0.26388734579086304,28,26
CMPD_0009,GENE_0676,0.4882749319076538,20,20
CMPD_0009,GENE_0457,0.43029046058654785,20,20
CMPD_0009,GENE_0868,0.3685656189918518,20,20
CMPD_0009,GENE_0602,0.35820502042770386,20,8
CMPD_0009,GENE_0330,0.3297246992588043,20,20
CMPD_0010,GENE_1076,0.3524811267852783,22,21
CMPD_0010,GENE_1050,0.3375394344329834,22,24
CMPD_0010,GENE_0346,0.28596869111061096,22,1
CMPD_0010,GENE_0822,0.28517118096351624,22,22
CMPD_0010,GENE_0505,0.28026899695396423,22,6
CMPD_0011,GENE_0986,0.3209686279296875,13,14
CMPD_0011,GENE_0975,0.2994474470615387,13,13
CMPD_0011,GENE_0303,0.29934239387512207,13,24
CMPD_0011,GENE_1089,0.2897518277168274,13,14
CMPD_0011,GENE_0718,0.2886466979980469,13,24
CMPD_0012,GENE_0078,0.3333137035369873,15,10
CMPD_0012,GENE_0442,0.3165441155433655,15,14
CMPD_0012,GENE_0325,0.30740487575531006,15,24
CMPD_0012,GENE_0811,0.28678253293037415,15,10
CMPD_0012,GENE_0518,0.2704484462738037,15,10
CMPD_0013,GENE_0287,0.30399036407470703,2,14
CMPD_0013,GENE_0925,0.2785791754722595,2,12
CMPD_0013,GENE_0960,0.27265194058418274,2,23
CMPD_0013,GENE_1094,0.271492063999176,2,13
CMPD_0013,GENE_0404,0.2467809021472931,2,21
CMPD_0014,GENE_0154,0.31294968724250793,15,25
CMPD_0014,GENE_1147,0.2877866327762604,15,28
CMPD_0014,GENE_0608,0.27630430459976196,15,15
CMPD_0014,GENE_0332,0.2613937556743622,15,13
CMPD_0014,GENE_1104,0.2582293450832367,15,20
CMPD_0015,GENE_0227,0.30738869309425354,16,29
CMPD_0015,GENE_0213,0.27620840072631836,16,17
CMPD_0015,GENE_0932,0.25905439257621765,16,7
CMPD_0015,GENE_0899,0.2572312355041504,16,12
CMPD_0015,GENE_0655,0.24339333176612854,16,4
CMPD_0016,GENE_0414,0.36257901787757874,2,29
CMPD_0016,GENE_0672,0.28988781571388245,2,23
CMPD_0016,GENE_0985,0.28064626455307007,2,1
CMPD_0016,GENE_0515,0.2759700417518616,2,25
CMPD_0016,GENE_1045,0.2620020806789398,2,4
CMPD_0017,GENE_0189,0.31992432475090027,6,28
CMPD_0017,GENE_0382,0.28562647104263306,6,9
CMPD_0017,GENE_1072,0.28471341729164124,6,15
CMPD_0017,GENE_0709,0.28267648816108704,6,6
CMPD_0017,GENE_0633,0.2774520814418793,6,4
CMPD_0018,GENE_0035,0.31959179043769836,4,25
CMPD_0018,GENE_1180,0.3129487633705139,4,26
CMPD_0018,GENE_0383,0.30608439445495605,4,10
CMPD_0018,GENE_0690,0.29077574610710144,4,21
CMPD_0018,GENE_0045,0.2807154357433319,4,10
CMPD_0019,GENE_0317,0.26774194836616516,27,11
CMPD_0019,GENE_0962,0.2632722556591034,27,25
