entity_type,entity_id,module,is_cmd_true_target,batch,cell_line,replicate,potency
gene,GENE_0000,1,0,0,0,0,0.21122853346435563
gene,GENE_0000,1,0,0,0,1,0.46962372387763585
gene,GENE_0000,1,0,0,0,2,0.4052251356322175
gene,GENE_0000,1,0,4,0,3,0.49167250926345163
gene,GENE_0000,1,0,2,1,0,0.4472326210101337
gene,GENE_0000,1,0,2,1,1,0.4808735813736956
gene,GENE_0000,1,0,5,1,2,0.43183329067754006
gene,GENE_0000,1,0,5,1,3,0.23652888978693018
gene,GENE_0000,1,0,3,2,0,0.3377886617211075
gene,GENE_0000,1,0,0,2,1,0.3586663804783181
gene,GENE_0000,1,0,2,2,2,0.48861913502657395
gene,GENE_0000,1,0,3,2,3,0.36129839099482525
gene,GENE_0001,6,0,5,0,0,0.6800614228012473
gene,GENE_0001,6,0,1,0,1,0.6884605182275844
gene,GENE_0001,6,0,5,0,2,0.8903592686831994
gene,GENE_0001,6,0,2,0,3,0.6370743859310427
gene,GENE_0001,6,0,1,1,0,0.6634967548201336
gene,GENE_0001,6,0,3,1,1,0.6796822617555461
gene,GENE_0001,6,0,1,1,2,0.7285258011424376
gene,GENE_0001,6,0,0,1,3,0.6896926711545217
gene,GENE_0001,6,0,0,2,0,0.6702807210647476
gene,GENE_0001,6,0,4,2,1,0.6555747835471001
gene,GENE_0001,6,0,3,2,2,0.5959876547484132
gene,GENE_0001,6,0,3,2,3,0.7712886919442288
gene,GENE_0002,6,0,3,0,0,0.5962474210993582
gene,GENE_0002,6,0,2,0,1,0.4451086797962456
gene,GENE_0002,6,0,4,0,2,0.4361985254617453
gene,GENE_0002,6,0,2,0,3,0.6256305645794122
gene,GENE_0002,6,0,2,1,0,0.6198934922122414
gene,GENE_0002,6,0,2,1,1,0.5892512254638804
gene,GENE_0002,6,0,2,1,2,0.43014563992577404
gene,GENE_0002,6,0,4,1,3,0.649565235253386
gene,GENE_0002,6,0,3,2,0,0.567131414529694
gene,GENE_0002,6,0,3,2,1,0.6070735458774276
gene,GENE_0002,6,0,0,2,2,0.61139273089771
gene,GENE_0002,6,0,2,2,3,0.4746386782983396
gene,GENE_0003,3,0,5,0,0,0.4437135285515711
gene,GENE_0003,3,0,2,0,1,0.45739406977210234
gene,GENE_0003,3,0,2,0,2,0.3784737592785028
gene,GENE_0003,3,0,5,0,3,0.4663534188548676
gene,GENE_0003,3,0,0,1,0,0.46364564661991026
gene,GENE_0003,3,0,5,1,1,0.29314279777397345
gene,GENE_0003,3,0,1,1,2,0.3261412429318281
gene,GENE_0003,3,0,2,1,3,0.4170249947661598
gene,GENE_0003,3,0,5,2,0,0.2521889973972937
gene,GENE_0003,3,0,3,2,1,0.4057375936908907
gene,GENE_0003,3,0,2,2,2,0.40664492187570617
gene,GENE_0003,3,0,2,2,3,0.40658936393736045
gene,GENE_0004,7,0,3,0,0,0.62196034246584
gene,GENE_0004,7,0,1,0,1,0.4959284154328017
