entity_id,cluster,module,integrated_score,cmd_prob,phenotype_strength,cross_modal_concordance,compound_support,compound_support_count,graph_centrality,is_cmd_true_target
GENE_0961,25,3,1.000000007748604,1.0,11.762787,0.31641942,1.290322631597519,4,54.0,1
GENE_0684,23,1,1.000000007748604,0.8888888888888888,11.187452,0.3597065,1.3674653768539429,4,52.0,1
GENE_0599,25,3,0.9921638145021409,0.8148148148148149,11.873228,0.34421778,1.0793517231941223,3,54.0,1
GENE_1111,23,1,0.9585415329668772,1.0,10.826568,0.37880504,0.9719515740871429,3,64.0,1
GENE_0437,23,1,0.9561631906032563,0.9997019147050054,10.460979,0.2824923,1.1537222862243652,3,47.0,1
GENE_0898,23,1,0.9523484574721854,0.6148148148148148,11.356086,0.3256079,0.8773187696933746,2,41.0,1
GENE_0731,23,1,0.9454588595032692,0.8888888888888888,10.671937,0.19161165,1.17844620347023,3,48.0,1
GENE_0212,23,1,0.9263657090567909,1.0,11.537323,0.34024704,0.7097748517990112,2,57.0,1
GENE_0962,25,3,0.9258320856094361,0.8148148148148149,10.154733,0.249724,1.2224405407905579,3,55.0,1
GENE_0519,23,1,0.922012768983841,0.6888888888888888,9.90968,0.47456357,1.716509848833084,5,72.0,1
GENE_0725,23,1,0.9039680960774422,1.0,10.348752,0.1229853,1.2152247428894043,3,60.0,1
GENE_0473,23,1,0.9012642437990224,1.0,10.831175,0.44171515,0.6484429836273193,2,56.0,1
GENE_0060,23,1,0.8991808727698273,1.0,11.239859,0.15579483,0.7778719067573547,2,49.0,1
GENE_0827,25,3,0.89169663220644,0.7222222222222223,9.690189,0.2426504,1.2864424288272858,3,52.0,1
GENE_0818,25,3,0.8753994184732438,1.0,10.238593,0.0477954,1.8086832463741302,5,63.0,1
GENE_0689,25,3,0.8708130422234536,0.7999999999999999,9.170237,0.41415793,1.696005254983902,5,43.0,1
GENE_0807,25,3,0.8646302342712129,0.6787406663408242,10.891244,0.26120973,0.6048176288604736,2,36.0,1
GENE_0200,25,3,0.8374311191467166,1.0,11.190839,0.20303994,0.3571262061595917,1,45.0,1
GENE_0339,23,1,0.8312067150874364,0.546031746031746,9.346873,0.18785317,1.0028470158576965,3,44.0,1
